state,state_code,year,births,source_db
Alabama,01,1995,60329,D10
Alabama,01,1996,60488,D10
Alabama,01,1997,60914,D10
Alabama,01,1998,62074,D10
Alabama,01,1999,62122,D10
Alabama,01,2000,63299,D10
Alabama,01,2001,60454,D10
Alabama,01,2002,58967,D10
Alabama,01,2003,59552,D27
Alabama,01,2004,59510,D27
Alabama,01,2005,60453,D27
Alabama,01,2006,63232,D27
Alabama,01,2007,64804,D66
Alabama,01,2008,64546,D66
Alabama,01,2009,62475,D66
Alabama,01,2010,60050,D66
Alabama,01,2011,59354,D66
Alabama,01,2012,58448,D66
Alabama,01,2013,58167,D66
Alabama,01,2014,59422,D66
Alabama,01,2015,59657,D66
Alabama,01,2016,59151,D66
Alabama,01,2017,58941,D66
Alabama,01,2018,57761,D66
Alabama,01,2019,58615,D66
Alabama,01,2020,57647,D66
Alabama,01,2021,58054,D66
Alabama,01,2022,58149,D66
Alabama,01,2023,57858,D66
Alabama,01,2024,57934,D66
Alaska,02,1995,10244,D10
Alaska,02,1996,10037,D10
Alaska,02,1997,9947,D10
Alaska,02,1998,9926,D10
Alaska,02,1999,9950,D10
Alaska,02,2000,9974,D10
Alaska,02,2001,10003,D10
Alaska,02,2002,9938,D10
Alaska,02,2003,10086,D27
Alaska,02,2004,10338,D27
Alaska,02,2005,10459,D27
Alaska,02,2006,10996,D27
Alaska,02,2007,11052,D66
Alaska,02,2008,11442,D66
Alaska,02,2009,11324,D66
Alaska,02,2010,11471,D66
Alaska,02,2011,11456,D66
Alaska,02,2012,11187,D66
Alaska,02,2013,11446,D66
Alaska,02,2014,11392,D66
Alaska,02,2015,11282,D66
Alaska,02,2016,11209,D66
Alaska,02,2017,10445,D66
Alaska,02,2018,10086,D66
Alaska,02,2019,9822,D66
Alaska,02,2020,9469,D66
Alaska,02,2021,9367,D66
Alaska,02,2022,9359,D66
Alaska,02,2023,9015,D66
Alaska,02,2024,8943,D66
Arizona,04,1995,72463,D10
