unique_rate_x,reroll_rate_x,trials,seed,goal,mechanic,median_raids,average_raids,tbow_conditional_rate_no_reroll,tbow_conditional_rate_with_reroll
27.11,2,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.04675909671737983
27.11,2,100000,12345,Tbow,With re-roll,404.0,582.54323,0.028985507246376812,0.04675909671737983
27.11,2,100000,12345,All uniques,No re-roll,1901.0,2105.20809,0.028985507246376812,0.04675909671737983
27.11,2,100000,12345,All uniques,With re-roll,1254.0,1375.81826,0.028985507246376812,0.04675909671737983
27.11,3,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.04083456689371217
27.11,3,100000,12345,Tbow,With re-roll,464.0,669.2133,0.028985507246376812,0.04083456689371217
27.11,3,100000,12345,All uniques,No re-roll,1900.0,2105.54981,0.028985507246376812,0.04083456689371217
27.11,3,100000,12345,All uniques,With re-roll,1411.0,1554.08798,0.028985507246376812,0.04083456689371217
27.11,4,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.03787230198187835
27.11,4,100000,12345,Tbow,With re-roll,499.0,719.9778,0.028985507246376812,0.03787230198187835
27.11,4,100000,12345,All uniques,No re-roll,1900.0,2105.03685,0.028985507246376812,0.03787230198187835
27.11,4,100000,12345,All uniques,With re-roll,1509.0,1664.33095,0.028985507246376812,0.03787230198187835
27.11,5,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.036094943034778025
27.11,5,100000,12345,Tbow,With re-roll,522.0,754.03532,0.028985507246376812,0.036094943034778025
27.11,5,100000,12345,All uniques,No re-roll,1900.0,2105.54342,0.028985507246376812,0.036094943034778025
27.11,5,100000,12345,All uniques,With re-roll,1573.0,1735.67354,0.028985507246376812,0.036094943034778025
27.11,6,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.034910037070044475
27.11,6,100000,12345,Tbow,With re-roll,539.0,779.43216,0.028985507246376812,0.034910037070044475
27.11,6,100000,12345,All uniques,No re-roll,1899.0,2104.67026,0.028985507246376812,0.034910037070044475
27.11,6,100000,12345,All uniques,With re-roll,1620.0,1788.5069,0.028985507246376812,0.034910037070044475
27.11,7,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.034063675666663386
27.11,7,100000,12345,Tbow,With re-roll,552.0,797.77591,0.028985507246376812,0.034063675666663386
27.11,7,100000,12345,All uniques,No re-roll,1900.0,2104.57352,0.028985507246376812,0.034063675666663386
27.11,7,100000,12345,All uniques,With re-roll,1655.0,1826.4648,0.028985507246376812,0.034063675666663386
27.11,8,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.03342890461412757
27.11,8,100000,12345,Tbow,With re-roll,561.0,812.24157,0.028985507246376812,0.03342890461412757
27.11,8,100000,12345,All uniques,No re-roll,1900.0,2104.6851,0.028985507246376812,0.03342890461412757
27.11,8,100000,12345,All uniques,With re-roll,1683.0,1856.76778,0.028985507246376812,0.03342890461412757
27.11,9,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.032935193795488586
27.11,9,100000,12345,Tbow,With re-roll,570.0,824.67386,0.028985507246376812,0.032935193795488586
27.11,9,100000,12345,All uniques,No re-roll,1900.0,2104.54637,0.028985507246376812,0.032935193795488586
27.11,9,100000,12345,All uniques,With re-roll,1707.0,1883.17255,0.028985507246376812,0.032935193795488586
27.11,10,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.03254022514057741
27.11,10,100000,12345,Tbow,With re-roll,577.0,834.0104,0.028985507246376812,0.03254022514057741
27.11,10,100000,12345,All uniques,No re-roll,1900.0,2104.16842,0.028985507246376812,0.03254022514057741
27.11,10,100000,12345,All uniques,With re-roll,1725.0,1904.06529,0.028985507246376812,0.03254022514057741
27.11,11,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.03221706896837736
27.11,11,100000,12345,Tbow,With re-roll,583.0,843.10482,0.028985507246376812,0.03221706896837736
27.11,11,100000,12345,All uniques,No re-roll,1899.0,2103.6475,0.028985507246376812,0.03221706896837736
27.11,11,100000,12345,All uniques,With re-roll,1742.0,1921.5198,0.028985507246376812,0.03221706896837736
27.11,12,100000,12345,Tbow,No re-roll,644.0,929.22398,0.028985507246376812,0.03194777215821064
27.11,12,100000,12345,Tbow,With re-roll,588.0,850.19348,0.028985507246376812,0.03194777215821064
27.11,12,100000,12345,All uniques,No re-roll,1899.0,2103.37239,0.028985507246376812,0.03194777215821064
27.11,12,100000,12345,All uniques,With re-roll,1754.0,1935.46903,0.028985507246376812,0.03194777215821064
